Id,級,組,姓,名,姓読み,名読み,所属,欠席,敗退,交流戦不参加
201,D,1,佐藤,光,さとう,ひかる,栗東高校,FALSE,FALSE,FALSE
202,D,1,鈴木,春香,すずき,はるか,大阪むらさめの会,FALSE,FALSE,FALSE
203,D,1,高橋,翔,たかはし,しょう,大阪むらさめの会,FALSE,FALSE,FALSE
204,D,1,田中,蓮,たなか,れん,京都嵐山会,FALSE,FALSE,FALSE
205,D,2,伊藤,結衣,いとう,ゆい,栗東高校,FALSE,FALSE,FALSE
206,D,2,渡辺,洋子,わたなべ,ようこ,清和女子大,FALSE,FALSE,FALSE
207,D,2,小林,晴人,こばやし,はると,大阪むらさめの会,FALSE,FALSE,FALSE
208,D,2,吉田,俊介,よしだ,しゅんすけ,清和女子大,FALSE,FALSE,FALSE
209,E,1,山本,真央,やまもと,まお,新東名大学,FALSE,FALSE,FALSE
210,E,1,中村,雅也,なかむら,まさや,新東名大学,FALSE,FALSE,FALSE
211,E,1,加藤,結香,かとう,ゆいか,有馬中央東高校,FALSE,FALSE,FALSE
212,E,1,斎藤,陽菜,さいとう,はるな,新東名大学,FALSE,FALSE,FALSE
213,E,2,原田,悠斗,はらだ,ゆうと,京都嵐山会,FALSE,FALSE,FALSE
214,E,2,松本,颯太,まつもと,そうた,新東名大学,FALSE,FALSE,FALSE
215,E,2,藤田,美咲,ふじた,みさき,静岡ささはた会,FALSE,FALSE,FALSE
216,E,2,森,瑞希,もり,みずき,清和女子大,FALSE,FALSE,FALSE
